Note,Description
Lavender,"A highly versatile aromatic plant whose oil is commonly used in perfumery, providing fresh, floral, herbal, and camphoraceous notes. It is a fundamental aromatic element when blended with coumarin to establish the defining framework of the classic Fougère fragrance structure. The absolute form offers a smooth, luscious quality with coumarin-like sweetness. Linalool and Linalyl Acetate are key chemical components"
Bergamot,"A traditional citrus top note, cold-pressed from the rind, characterized by a sweet, light orange peel scent complemented by a floral nuance. It is foundational to the classical Eau de Cologne and Chypre fragrance families. Furanocoumarins in the crude oil are highly phototoxic, requiring FCF (Furanocoumarin-Free) versions for responsible cosmetic use"
Coriander,"An herb used in cooking whose oil provides an aromatic, floral, and camphoraceous profile. Coriander may have been cultivated in Greece since at least the second millennium BCE for the manufacture of perfumes. The fresh leaves spoil quickly and lose their aroma when dried or frozen"
Rosemary,"An aromatic shrub contributing sharp, herbaceous, and resinous notes. Its oil was the basis of the Hungarian queen's-water (Aqua Reginae Hungariae), one of the first perfumes made by distillation. It is critical for setting the aromatic framework of the Fougère structure when combined with lavender and coumarin"
Ginger,"A rhizome used in spicy blends. Ginger essential oil contains citral, which provides a lemony character to fresh ginger. The spicy taste and warming qualities come from substituted phenols, gingerols/shogaols"
Anise,"An aromatic spice with a powerful odor characteristic of (E)-anethole, its main component, which is present at high concentrations (87–94%) in the seed oil. Anethole has a sweet, licorice-like scent and flavor, and anise is traditionally cultivated since antiquity"
Cloves,"The dried flower buds of the *Syzygium aromaticum* tree, commonly used as a spice and fragrance. Clove oil is highly concentrated in eugenol (ca. 80%), which gives it a powerful, spicy, clove-like scent, making it essential for spicy/oriental compositions. It blends well with woody and amber notes"
Clove,"The dried flower buds of the *Syzygium aromaticum* tree, commonly used as a spice and fragrance. Clove oil is highly concentrated in eugenol (ca. 80%), which gives it a powerful, spicy, clove-like scent, making it essential for spicy/oriental compositions. It blends well with woody and amber notes"
Jasmine,"A highly prized white floral note. Jasmine absolute is a brownish paste with an intensely floral, warm, rich, and highly diffusive odor, requiring thousands of freshly picked flowers to produce a small amount. Its complexity comes from compounds like benzyl acetate and indole, and it functions as a potent natural fixative"
Musk,"A foundational fixative note, typically characterized by clean, soft, sweet, and powdery aromas. Synthetic macrocyclic musks (like Galaxolide and Ethylene Brassylate) are now preferred for stability and ethical sourcing, offering improved profiles compared to older animal-derived or nitromusks. Musks enhance substantivity and ensure the long-term presence of a fragrance"
Cedar,"A major woody note derived from various conifers. Cedarwood oils typically contain cedrol and cedrene. The scent profile ranges from an austere, pencil-like aroma (Virginia/Red Cedar) to a deeply woody and warm base, valued for structural support and functioning as a fixative"
Tonka Bean,"A material containing the aromatic lactone coumarin, which is largely liberated upon fermentation. It provides a warm, sweet profile reminiscent of hay, almond, and tobacco. It is the foundational element of the Fougère fragrance architecture and acts as an excellent, highly substantive fixative, often lasting over 400 hours"
Oakmoss,"A deep, earthy, mossy base note derived from the lichen *Evernia prunastri*. It is a historical cornerstone of the traditional Chypre and Fougère fragrance structures. Due to regulatory concerns over potent allergens (atranol and chloroatranol), commercially available extracts must be treated to be low-atranol"
Leather,"A complex fantasy note used to evoke scents reminiscent of hide or animals. Historically linked to animal sources like castoreum, modern leather notes are often synthesized using materials like isobutyl quinoline, ranging from smoky and tar-like to refined and smooth"
Artemisia,"A genus of herbs often having pungent essential oils. Artemisia oil (armoise oil), such as that from white wormwood, is used in fine perfumery for Chypre notes. Southernwood (*A. abrotanum*) provides a sweetish, complex aromatic odor, sometimes reminiscent of ambra or ambergris"
