Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
4711,4711 Jasmine Eau de Cologne,Oriental Floral,"white floral, citrus, fresh spicy, green, fresh, floral, woody, aromatic, musky, powdery","Fresh, clean, and floral Eau de Cologne. Community reviews describe it as a beautiful, photorealistic jasmine, often blended with prominent neroli and green tea notes. Its light, airy, and non-indolic character makes it a versatile scent. Some users note a similarity to the fresh aspects of Tom Ford's Neroli Portofino and the original 4711. Its refreshing nature makes it perfect for warm weather and for a clean, out-of-the-shower feel",Bergamot and Tea,Jasmine and Neroli,"Musk, Cedar and Tonka Bean","Moderate, Intimate","Moderate, Weak","Unisex, More female","Spring, Summer",Day,https://www.fragrantica.com/perfume/4711/4711-Jasmine-Eau-de-Cologne-56909.html,EDC,100,10/2025,6473,11/2023,UNDEFINED,4011700757039,,Alexandra Kalle,2019,"Alcohol, Water (Aqua), Fragrance (Parfum), Linalool, Limonene, Geraniol, Citronellol, Benzyl Alcohol, Hydroxycitronellal, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Citral, Ethylhexyl Salicylate, BHT",https://fimgs.net/mdimg/perfume-thumbs/375x500.56909.avif,,,
4711,4711 Original Eau de Cologne,Citrus Aromatic,"citrus, aromatic, fresh spicy, fresh, green","Fresh, clean, and floral Eau de Cologne. Community reviews describe it as a beautiful, photorealistic jasmine, often blended with prominent neroli and green tea notes. Its light, airy, and non-indolic character makes it a versatile scent. Some users note a similarity to the fresh aspects of Tom Ford's Neroli Portofino and the original 4711. Its refreshing nature makes it perfect for warm weather and for a clean, out-of-the-shower feel","Lemon, Bergamot and Orange",Lavender and Rosemary,Neroli and Petitgrain,"Intimate, Moderate","Very weak, Weak","Unisex, More male","Summer, Spring",Day,https://www.fragrantica.com/perfume/4711/4711-Original-Eau-de-Cologne-3256.html,EDC,88,,5119,03/2019,UNDEFINED,4011700740185,"Tester
Made in Koln, Germany
740 185 1",Wilhelm Muelhens,1792,"Alcohol, Water (Aqua), Fragrance (Parfum), Limonene, Linalool, Geraniol, Citral, Hydroxycitronellal, Citronellol",https://fimgs.net/mdimg/perfume-thumbs/375x500.3256.avif,,,
Abercrombie & Fitch,Fierce,Woody Aromatic,"Aromatic, Woody, Citrus, Fresh spicy, Musky, Fresh, Earthy, Powdery, White floral, Sweet","Iconic, widely-loved bold, clean, and sexy woody-aromatic scent, known for its strong presence and notes of marine breeze, citrus, fir, cardamom, and sensual musk/sandalwood, is famously compared to the expensive Parfums de Marly Percival and the affordable Montblanc Legend, and is considered a versatile signature scent best for all seasons and daytime casual/nighttime going out. Smells great, gets compliments. Bottle design cheesy/unattractive. Not same as mid-2000s, watered down. ""Cultural touchstone,"" ""olfactory uniform."" ""Incredibly fresh and inviting""","Fir, Lemon, Orange, Petitgrain, Sea Notes, Cardamom","Rosemary, Lily-of-the-Valley, Jasmine, Sage, Rose","Musk, Vetiver, Oakmoss, Brazilian Rosewood, Sandalwood","Moderate, Strong","Moderate, Long lasting","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Abercrombie-Fitch/Fierce-3508.html,EDT,10,07/2025,232F,08/2018,08/2023,8571516963,Tester,"Christophe Laudamiel, Bruno Jovanovic",2002,"SD ALCOHOL 40-B (ALCOHOL DENAT.), WATER/EAU (AQUA), FRAGRANCE/PARFUM, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, CINNAMAL, CITRAL. CITRONELLOL, COUMARIN, EUGENOL, GERANIOL, LIMONENE, LINALOOL, METHYL-2-OCTYNOATE",https://fimgs.net/mdimg/perfume-thumbs/375x500.3508.avif,,,
Abercrombie & Fitch,First Instinct Extreme,Aromatic Fougere,"musky, fresh spicy, warm spicy, tropical, fruity, amber, powdery, ozonic, citrus, coconut","Warm, spicy, and fruity-aromatic fragrance. Community reviews highlight a prominent creamy coconut milk and star fruit note, giving it a tropical vibe. It's often compared to other ""blue"" fragrances like Dior Sauvage and Versace Dylan Blue, but with a sweeter and more unique DNA. Its rich profile makes it suitable for year-round use, but it particularly shines on cooler summer nights or in moderate weather","Carambola (Star Fruit), Pepper and Mandarin Leaf","Violet Leaf, Sichuan Pepper, Cardamom and Saffron","Musk, Amber, Coconut Milk, Cashmirwood and Suede","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Abercrombie-Fitch/First-Instinct-Extreme-52880.html,EDP,100,09/2025,NE05,05/2023,UNDEFINED,85715167507,,Philippe Romano,2018,"Sd Alcohol 40-b (Alcohol Denat.), Water/eau (Aqua), Fragrance/parfum, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate",https://fimgs.net/mdimg/perfume-thumbs/375x500.52880.avif,,,
Adidas,Adidas Active Bodies,Aromatic Fougere,"woody, aromatic, amber, green, powdery, lavender, mossy, balsamic, aldehydic, musky","Classic, complex aromatic fougere, often described as a classy, potent, slightly rough-edged soapy, piney, and woody scent with great longevity for its price; it is compared to the clean side of Paco Rabanne Pour Homme or Giorgio Beverly Hills Red, and its fresh, yet warm, character makes it a versatile all-rounder, though reviewers lean towards colder days/autumn wear","Lavender, Aldehydes, Green Notes, Cassia, Caraway and Lemon","Pine Tree Needles, Sandalwood, Cedar, Freesia and Rose","Oakmoss, Amber, Musk, Labdanum, Styrax and Tonka Bean","Moderate, Strong","Moderate, Long lasting","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Adidas/Adidas-Active-Bodies-7873.html,EDT,100,11/2025,5090,03/2025,UNDEFINED,4004775312005,Made in Spain,Coty,1990,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, BENZYL SALICYLATE, PEG-40 HYDROGENATED CASTOR OIL, ETHYLHEXYL METHOXYCINNAMATE, TRIDECETH-9, LINALOOL, BENZYL BENZOATE, LIMONENE, BENZOPHENONE-3, HYDROXYCITRONELLAL, HEXYL CINNAMAL, COUMARIN, CITRAL, PROPYLENE GLYCOL, GERANIOL, BHT, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, BENZYL ALCOHOL, FD&C YELLOW NO.6 (CI 15985), FD&C YELLOW NO.5 (CI 19140)",https://fimgs.net/mdimg/perfume-thumbs/375x500.7873.avif,,,
Afnan,Rare Carbon,Leather,"Leather, Woody, Ozonic, Powdery, Animalic, Violet, Rose, Oud, Aquatic, Floral","Warm, spicy, and fruity-aromatic fragrance. Community reviews highlight a prominent creamy coconut milk and star fruit note, giving it a tropical vibe. It's often compared to other ""blue"" fragrances like Dior Sauvage and Versace Dylan Blue, but with a sweeter and more unique DNA. Its rich profile makes it suitable for year-round use, but it particularly shines on cooler summer nights or in moderate weather","Leather, Violet Leaf, Nutmeg, Cinnamon","Violet, Rose, Agarwood (Oud), Cedar","Vetiver, Sandalwood, Amber","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Fall","Night, Day",https://www.fragrantica.com/perfume/Afnan/Rare-Carbon-66627.html,EDP,100,07/2025,RAC/0411/12214,07/2023,07/2028,6290171002291,,Unknown,2020,"alcohol denat, aqua (dm water), parfums, citral, citronellol, d-limonene, eugenol, farnesol, geraniol",https://fimgs.net/mdimg/perfume-thumbs/375x500.66627.avif,,,
Afnan,Supremacy Collector's Edition Pour Homme,Chypre Fruity,"Fruity, White Floral, Sweet, Citrus, Amber, Animalic, Mossy, Tropical, Fresh, Musky","Highly-hyped, fruity-chypre and sophisticated masculine scent noted for a vibrant blend of pineapple, apple, white flowers, and ambergris, is predominantly cited as a powerful and great-value clone of Creed Aventus Absolu with a similarity to the Aventus DNA, and is considered a versatile all-year scent, especially for spring, summer nights, and special occasions. Captivating, honors Supremacy legacy. Very masculine. Strong projection/longevity (""monster,"" ""beast""). Good value","Pineapple, Bergamot, White Flowers, Apple","Orange Blossom, Birch, Amber","Oakmoss, Musk, Ambergris","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Spring, Summer, Fall","Night (69%), Day (31%)",https://www.fragrantica.com/perfume/Afnan/Supremacy-Collector-s-Edition-Pour-Homme-98689.html,EDP,100,,SCE/5614/17816,06/2025,06/2030,6290171075073,,Unknown,2024,"Alcohol Denat., Parfum, Aqua, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Cinnamyl Alcohol, Citral, Citronellol, Coumarin, D-Limonene, Eugenol, Farnesol, Geraniol, Hexyl Cinnamal Aldehyde, Iso Eugenol",https://fimgs.net/mdimg/perfume-thumbs/375x500.98689.avif,,,
Afnan,Turathi Blue,Aromatic Aquatic,"Citrus, Musky, Fresh, Woody, Amber, Powdery, Warm Spicy, Patchouli, Fresh Spicy","Extremely popular, affordable fresh, bright, and invigorating aromatic aquatic scent with dominant notes of zesty citruses, musk, and clean woody amber, is widely considered the best and closest clone of Bvlgari Tygar, and is overwhelmingly recommended as a versatile and powerful fragrance best suited for high heat, summer, and daytime wear. Pleasant citrusy/fresh opening, good performance. Somewhat synthetic. Also reminds of: Vibrato Sospiro Perfumes, Théorème Homme Rue Broca",Citruses,"Amber, Woodsy Notes","Musk, Spices, Patchouli","Moderate, Strong","Long lasting, Moderate","Male, More male","Summer, Spring",Day,https://www.fragrantica.com/perfume/Afnan/Turathi-Blue-70839.html,EDP,100,06/2025,THB/6558/17018,02/2025,02/2030,6290171070580,,Imran Fazlani,2021,"alcohol denat, aqua (dm water), parfums, citral, coumarin, geraniol, citronellol, linalool, d-limonene",https://fimgs.net/mdimg/perfume-thumbs/375x500.70839.avif,,,
Al Haramain Perfumes,Détour Noir,Oriental Spicy,"vanilla, woody, warm spicy, powdery, fresh spicy, aromatic, fruity, lavender, fresh, white floral","highly praised as an affordable, warm, and sophisticated amber spicy fragrance with signature notes of a sweet apple, creamy vanilla, and warm woods, is universally recognized as one of the best and closest clones of Parfums de Marly Layton, and is primarily recommended for cooler weather, especially fall and winter, and evening wear due to its cozy profile. Affordable, excellent scent. Poor bottle design","Apple, Lavender, Jasmine, Violet","Vanilla, Patchouli, Bergamot, Mandarin Orange","Sandalwood, Cardamom, Pepper, Guaiac Wood, Geranium","Moderate, Strong","Long lasting, Moderate","More male, Male","Winter, Spring, Summer, Fall","Night, Day",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Detour-Noir-70748.html,EDP,100,07/2025,250924021882,09/2024,UNDEFINED,6291100134656,Tester,Unknown,2021,"alcohol denat., aqua (water), fragrance, limonene, benzyl alcohol /phenyl meth-1-ol, methyl heptanecarbonate, citronellol, geraniol, cinnamal, hydroxycitronellal, anise alcohol / (4-methoxy phenyl)meth-1-ol, cinnamyl alcohol / 3-phenyl prop-2-en-1-ol, eugenol, alpha isomethyl ionone, amyl cinnamal, farnesol",https://fimgs.net/mdimg/perfume-thumbs/375x500.70748.avif,,,
Al Haramain Perfumes,Detour Noir Exclusif,Oriental Floral,"Woody, almond, oud, powdery, animalic, vanilla, nutty, warm spicy, sweet, fruity","Enchanting, mesmerizes senses, elevates everyday experiences, combines sophistication with luxury, transcends ordinary. Reminds of Layton Exclusif Parfums de Marly, Détour Noir Al Haramain Perfumes, Layton Parfums de Marly.","Almond, Mandarin Orange, Watery Notes, Bergamot","Civet, Geranium, Rose, Water Lily, Gardenia","Sandalwood, Cardamom, Pepper, Guaiac Wood, Geranium","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall","Night, Day",https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Detour-Noir-Exclusif-92659.html,EDP,100,06/2025,61124011433,11/2024,UNDEFINED,6291106813791,,Unknown,2024,"Alcohol Denat, Aqua (Water), Parfum/Fragrance, Limonene, Coumarin, Linalool, Citral, Geraniol, Citronellol, Benzyl Alcohol, Benzyl Benzoate, Eugenol, Farnesol, Anise Alcohol, and Hydrocitronellal",https://fimgs.net/mdimg/perfume-thumbs/375x500.92659.avif,,,
